iter	Passed	Remaining
856	8975	1497
857	9001	1489
858	9019	1480
859	9037	1471
860	9054	1461
861	9073	1452
862	9095	1443
863	9108	1433
864	9119	1423
865	9135	1413
866	9148	1403
867	9166	1393
868	9177	1383
869	9200	1374
870	9220	1365
871	9231	1355
872	9242	1344
873	9259	1334
874	9284	1326
875	9300	1316
876	9309	1305
877	9321	1295
878	9343	1286
879	9353	1275
880	9362	1264
881	9374	1254
882	9388	1243
883	9402	1233
884	9415	1223
885	9433	1213
886	9441	1202
887	9451	1192
888	9462	1181
889	9472	1170
890	9488	1160
891	9498	1150
892	9507	1139
893	9524	1129
894	9536	1118
895	9548	1108
896	9557	1097
897	9567	1086
898	9576	1075
899	9589	1065
900	9600	1054
901	9614	1044
902	9624	1033
903	9633	1023
904	9642	1012
905	9659	1002
906	9672	991
907	9683	981
908	9693	970
909	9704	959
910	9719	949
911	9733	939
912	9746	928
913	9754	917
914	9762	906
915	9771	896
916	9781	885
917	9796	875
918	9809	864
919	9817	853
920	9827	842
921	9835	832
922	9844	821
923	9856	810
924	9871	800
925	9880	789
926	9888	778
927	9896	767
928	9909	757
929	9927	747
930	9935	736
931	9943	725
932	9951	714
933	9958	703
934	9966	692
935	9975	682
936	9988	671
937	10001	661
938	10012	650
939	10020	639
940	10027	628
941	10034	617
942	10051	607
943	10067	597
944	10076	586
945	10085	575
946	10092	564
947	10099	553
948	10110	543
949	10122	532
950	10133	522
951	10142	511
952	10150	500
953	10157	489
954	10166	479
955	10179	468
956	10191	457
957	10207	447
958	10216	436
959	10224	426
960	10234	415
961	10246	404
962	10257	394
963	10268	383
964	10279	372
965	10287	362
966	10296	351
967	10309	340
968	10327	330
969	10335	319
970	10344	308
971	10353	298
972	10361	287
973	10369	276
974	10380	266
975	10395	255
976	10408	245
977	10423	234
978	10430	223
979	10444	213
980	10456	202
981	10464	191
982	10476	181
983	10486	170
984	10495	159
985	10509	149
986	10527	138
987	10539	128
988	10547	117
989	10555	106
990	10562	95
991	10575	85
992	10590	74
993	10604	64
994	10615	53
995	10624	42
996	10639	32
997	10681	21
998	10704	10
999	10717	0
